Symbol,Interval,Hurst Exponent,Deviation,Average Volume,Data Points
SWKS,1d,0.5032047904875568,0.003204790487556841,2024034.2970168612,10023
EXPD,1d,0.573982518197597,0.07398251819759705,1278596.2792207792,10010
UNH,1d,0.6021010856006105,0.10210108560061049,6434294.086843422,9995
BBY,1d,0.503832152559392,0.0038321525593919548,4738823.231330428,9869
DOC,1d,0.5134267545622941,0.013426754562294141,1805199.4820195043,9844
ADSK,1d,0.5316443871869861,0.031644387186986145,2740802.628577248,9819
NVR,1d,0.5698438763605689,0.06984387636056888,45906.5886372909,9804
DVN,1d,0.5312565445960381,0.031256544596038105,3427843.8783149733,9804
ROST,1d,0.5446903427704634,0.044690342770463354,5764146.9813093655,9791
JKHY,1d,0.5512050166949428,0.05120501669494282,402950.4633192715,9719
MNST,1d,0.5737735267705419,0.07377352677054194,8927732.710930256,9707
ORCL,1d,0.5466497619094887,0.04664976190948866,35634956.607798405,9643
MSFT,1d,0.5821439606138276,0.08214396061382756,56891904.47770172,9642
TROW,1d,0.5505415698089796,0.050541569808979614,1327230.0587807663,9629
COST,1d,0.5760960895469229,0.07609608954692293,2890496.532057316,9561
ADBE,1d,0.5193359951656379,0.019335995165637887,6369988.438758389,9536
FI,1d,0.5644305643292447,0.06443056432924466,3880054.3960656426,9506
BKR,1d,0.468683371736658,0.03131662826334197,3487876.6071695294,9373
CDNS,1d,0.5295585671940597,0.029558567194059693,2027110.093696398,9328
TJX,1d,0.5685065122179008,0.06850651221790083,10479118.3044225,9316
FICO,1d,0.5691766325908788,0.0691766325908788,270161.31799118186,9299
CCL,1d,0.48712770195875627,0.012872298041243735,7196590.144455201,9297
FAST,1d,0.5560182033598551,0.05601820335985508,4259220.460875189,9278
SCHW,1d,0.5097054569719701,0.009705456971970117,7130408.129321521,9256
JCI,1d,0.5052626767241092,0.005262676724109183,4147799.381863381,9252
KEY,1d,0.5021269778490047,0.0021269778490047297,6208552.174219428,9224
MOS,1d,0.5126213874176433,0.012621387417643293,2711352.109281274,9169
MGM,1d,0.5366299665644616,0.0366299665644616,5696142.201823775,9102
WM,1d,0.5425535276599824,0.04255352765998244,1773695.117030664,9066
TECH,1d,0.5467427889818105,0.0467427889818105,786798.7448624368,8905
IEX,1d,0.5563972326911194,0.0563972326911194,284468.4214342359,8827
GEN,1d,0.4772008346136262,0.022799165386373776,8661670.596345892,8812
EA,1d,0.5155984702345189,0.01559847023451888,4358142.732601988,8751
EOG,1d,0.5122215298789636,0.012221529878963633,3629639.7910994166,8741
PTC,1d,0.49971019482589885,0.00028980517410115425,1124349.5864289822,8695
CTRA,1d,0.5056065860501165,0.0056065860501165465,4262475.335490582,8653
CSCO,1d,0.5250645970896506,0.025064597089650587,52331374.7318145,8647
HOLX,1d,0.537867610660876,0.03786761066087596,1756887.6009954857,8639
LH,1d,0.5492832601792524,0.04928326017925244,840032.452372665,8619
TRMB,1d,0.5279047749125119,0.027904774912511865,1319197.9982437654,8541
AZO,1d,0.6243200575804086,0.12432005758040865,534622.4231918709,8365
REGN,1d,0.5647625124215518,0.06476251242155184,550536.6961147639,8365
IDXX,1d,0.5693401852564819,0.06934018525648189,875791.7330284064,8308
AES,1d,0.5360807077997386,0.0360807077997386,3993450.4686333532,8305
VRTX,1d,0.511866037417369,0.011866037417369024,1311360.5594979483,8286
ZBRA,1d,0.538691091337622,0.03869109133762205,440643.4623941959,8270
BIIB,1d,0.5373550046348773,0.03735500463487729,2316447.1390640154,8248
ODFL,1d,0.6034691937695742,0.1034691937695742,1454416.0791874467,8221
APH,1d,0.5624989959451375,0.062498995945137525,3603307.677588307,8210
KIM,1d,0.5367129016566421,0.036712901656642094,2526084.883536585,8200
QCOM,1d,0.5049543072532258,0.004954307253225765,17461713.285976056,8186
GILD,1d,0.5776636390491069,0.07766363904910689,14298835.789460784,8160
ROP,1d,0.590216307712256,0.09021630771225597,422203.5656925344,8144
SNPS,1d,0.5293619230682124,0.029361923068212392,1297074.3078908555,8136
STZ,1d,0.5932667860192687,0.09326678601926874,1400761.128416646,8122
MHK,1d,0.5424813900054634,0.04248139000546336,553863.0382197016,8111
BSX,1d,0.5583950313704368,0.05839503137043678,8201192.832755633,8078
STE,1d,0.5312428389684901,0.031242838968490116,509124.37372986367,8070
DHI,1d,0.5522347029326512,0.0522347029326512,3694554.2283659806,8066
LIN,1d,0.5794891622391957,0.07948916223919567,1537325.5301563663,8058
SBUX,1d,0.5955577025468487,0.0955577025468487,14696975.549745373,8051
MTCH,1d,0.5529261282153451,0.05292612821534515,7334566.459602984,7909
MS,1d,0.4906938734353606,0.009306126564639416,9979894.29714648,7885
INTU,1d,0.5727115609733892,0.07271156097338916,3368377.0541158537,7872
MCHP,1d,0.5100336161497377,0.010033616149737745,5373380.556247616,7867
CB,1d,0.5498357880167024,0.04983578801670241,1534796.6734070964,7863
ORLY,1d,0.6405756438417707,0.14057564384177068,752971.6641591227,7843
RCL,1d,0.511014384877877,0.011014384877876982,2233997.444642857,7840
JBL,1d,0.5130399023106244,0.013039902310624352,2173741.10858747,7837
ALL,1d,0.5376809810589491,0.037680981058949126,2683467.821753039,7815
CPT,1d,0.5223521808787754,0.02235218087877544,486157.73910808377,7781
EQR,1d,0.5005812660392699,0.0005812660392698898,1672331.988926088,7766
BWA,1d,0.5265970728725475,0.026597072872547534,2153782.1470701867,7765
IT,1d,0.5832509192539725,0.08325091925397254,498855.14956656744,7729
DECK,1d,0.5744628623104745,0.0744628623104745,730875.550835384,7721
REG,1d,0.5094625016216215,0.009462501621621544,591944.0247698093,7711
INCY,1d,0.500989679790473,0.0009896797904730414,1205076.978201635,7707
SPG,1d,0.5490240638942813,0.04902406389428127,1631271.1235677083,7680
EMN,1d,0.515410843954583,0.015410843954583031,1244470.2544270833,7680
MAA,1d,0.5412209330408896,0.041220933040889585,334204.6115324268,7648
TSCO,1d,0.5918099096195668,0.09180990961956681,1383223.6374115797,7634
MLM,1d,0.5453330253749034,0.04533302537490336,448798.1598113702,7634
ALB,1d,0.5311594806663861,0.031159480666386075,836368.0948637316,7632
AVB,1d,0.548867259575342,0.04886725957534199,631036.8037800236,7619
CPRT,1d,0.6025227004371377,0.10252270043713774,6964644.643072883,7615
ESS,1d,0.5626418143693372,0.06264181436933725,276564.1123015873,7560
O,1d,0.5372928202992958,0.037292820299295815,1415213.9422793626,7467
MCO,1d,0.5832768200889222,0.08327682008892223,1688669.1241619738,7458
SJM,1d,0.5523473803062404,0.05234738030624042,559489.8751676052,7458
MCK,1d,0.5871450885967979,0.08714508859679793,1536840.028590604,7450
COF,1d,0.48937283650711283,0.01062716349288717,3474139.960918614,7446
DLTR,1d,0.540771889897495,0.04077188989749503,3124867.0461267126,7371
COR,1d,0.6006242139949322,0.10062421399493215,2485794.831451503,7351
DRI,1d,0.5546259710636672,0.05462597106366718,1622780.8172512625,7327
RMD,1d,0.5713798075186494,0.07137980751864936,948269.6730506156,7310
WAB,1d,0.5552297485045117,0.05522974850451168,696500.0878082191,7300
FCX,1d,0.47788596025003016,0.022114039749969838,14746902.770487303,7285
IVZ,1d,0.4617133866593973,0.03828661334060268,2542050.9710384775,7251
ACGL,1d,0.6408828077216767,0.14088280772167672,1647821.8549323017,7238
EG,1d,0.5635944725284352,0.0635944725284352,362558.2573010381,7225
POOL,1d,0.6176213065334392,0.11762130653343916,337061.8182070112,7217
DVA,1d,0.5541472940847675,0.05414729408476748,1450270.216516308,7205
HSIC,1d,0.5613474771556491,0.061347477155649144,1517180.3014440434,7202
EL,1d,0.5784283197841329,0.0784283197841329,2036661.5082035596,7192
WAT,1d,0.5574945565464715,0.05749455654647151,710101.6647664071,7192
NTAP,1d,0.48479618594845986,0.015203814051540143,4856374.269958275,7190
HIG,1d,0.5040320830050957,0.004032083005095721,3234801.7716436638,7173
IRM,1d,0.52357877472677,0.023578774726769947,1343966.6613919619,7141
ANSS,1d,0.5835863054069688,0.08358630540696876,474587.9822544009,7044
FDS,1d,0.5583699342223375,0.058369934222337494,317680.0021312873,7038
STLD,1d,0.5406012504002794,0.0406012504002794,2869363.8545061285,6935
DGX,1d,0.5416407387632126,0.041640738763212615,1266269.6421448186,6919
KMX,1d,0.5265956955408408,0.026595695540840847,1852075.9278245715,6886
TTWO,1d,0.5478481581242599,0.04784815812425991,1729263.0013161744,6838
VTR,1d,0.5032946726268589,0.0032946726268588966,1449270.1016998827,6824
AMZN,1d,0.5759875596926121,0.07598755969261206,138480632.08230633,6816
ARE,1d,0.5262256954135129,0.02622569541351294,463822.3509106933,6808
RL,1d,0.48521892141886397,0.014781078581136031,894461.5593644255,6797
BXP,1d,0.4680532799814016,0.031946720018598385,923906.7023406448,6793
YUM,1d,0.5719984699079411,0.07199846990794112,3984127.9482912333,6730
CHRW,1d,0.512045521916768,0.012045521916767998,1288302.5810105829,6709
FE,1d,0.48743093487603883,0.012569065123961165,2729987.7479079496,6692
MTD,1d,0.5842996189859928,0.08429961898599281,188453.55607057415,6688
PLD,1d,0.5459253638427193,0.04592536384271928,1880888.090528206,6683
URI,1d,0.5413164250047158,0.04131642500471577,1207575.742835709,6665
AEE,1d,0.5188514287123223,0.01885142871232226,1238044.6493389423,6656
TMUS,2m,0.5822921156742623,0.08229211567426231,21308.894103489773,6648
WBA,2m,0.574441858491711,0.07444185849171103,48180.00812274368,6648
WDC,2m,0.48032769059908276,0.019672309400917243,23095.88161853189,6648
WBD,2m,0.4931221059479466,0.006877894052053413,144278.83619133575,6648
TSLA,2m,0.4585095803217205,0.04149041967827949,400878.2431171957,6647
XEL,2m,0.4693448668070888,0.030655133192911188,12741.405295622086,6647
SBUX,2m,0.5168549970460221,0.016854997046022113,65414.525951557094,6647
UAL,2m,0.5068966625427647,0.006896662542764664,29155.345569429817,6647
TXN,2m,0.5880394635514778,0.08803946355147785,19598.07342762564,6646
VTRS,2m,0.5086481779146456,0.00864817791464556,32424.76030695155,6646
NVDA,2m,0.6050253435625851,0.10502534356258508,347396.29841986456,6645
QCOM,2m,0.5722742388941692,0.07227423889416917,38292.94341610233,6645
ON,2m,0.48107212864771215,0.01892787135228785,24062.90925507901,6645
PYPL,2m,0.4852116021969941,0.014788397803005893,53874.34627539504,6645
SMCI,2m,0.5034379379355836,0.003437937935583557,29626.293754702783,6645
MSFT,2m,0.5720954087656372,0.07209540876563725,70275.29349789284,6644
PEP,2m,0.5704579381579769,0.07045793815797685,16362.917820590006,6644
META,2m,0.5534423473178682,0.05344234731786823,58217.03386514148,6644
MU,2m,0.5377309052701167,0.03773090527011669,66819.324653823,6644
MNST,2m,0.5346202561963861,0.03462025619638609,46022.08744732089,6644
MDLZ,2m,0.5225778013088334,0.022577801308833356,23731.901113786877,6644
PARA,2m,0.5172757453915093,0.017275745391509334,88083.26143889224,6644
MCHP,2m,0.5041260814760155,0.004126081476015453,22058.89057796508,6644
KHC,2m,0.5683669645066676,0.06836696450666757,32049.213758843896,6643
PANW,2m,0.48106278119824497,0.01893721880175503,16375.146168899593,6643
ENPH,2m,0.5022443614555345,0.002244361455534527,17323.170706006324,6643
INTC,2m,0.4622176321277182,0.037782367872281786,187334.17570009033,6642
PCAR,2m,0.4640017991945142,0.035998200805485825,10649.573020174646,6642
ROST,2m,0.5122145059918041,0.01221450599180407,11260.507828967178,6642
MTCH,2m,0.5017920075401024,0.0017920075401024471,20486.909214092142,6642
FTNT,2m,0.4748895527272163,0.02511044727278372,24056.14530944135,6641
GILD,2m,0.5028548516777743,0.0028548516777743282,23608.930733323294,6641
NFLX,2m,0.5972925668171936,0.09729256681719356,12544.25,6640
SO,2m,0.5370883136200234,0.037088313620023405,18510.563554216867,6640
HBAN,2m,0.5205584362507925,0.020558436250792456,58694.05346385542,6640
EBAY,2m,0.5115975793556143,0.01159757935561434,22542.348343373495,6640
CRM,2m,0.5074504051655793,0.007450405165579266,40602.084186746986,6640
CSX,2m,0.49716526040992487,0.0028347395900751304,43271.463704819274,6640
MRNA,2m,0.5876111120730858,0.0876111120730858,19779.967766229853,6639
BKR,2m,0.45520240173558996,0.04479759826441004,21134.892905558067,6639
STX,2m,0.5434559906408932,0.04345599064089323,10029.978761861727,6639
CMCSA,2m,0.46640072190414583,0.03359927809585417,67564.2057538786,6639
KDP,2m,0.46747751624265127,0.03252248375734873,25450.729176080735,6639
CSCO,2m,0.5269061745426579,0.026906174542657868,73410.72721795451,6639
CZR,2m,0.47637687033537923,0.023623129664620768,23567.299894562435,6639
ETSY,2m,0.4864152119962818,0.013584788003718207,16300.350052718783,6639
DIS,2m,0.5075442416254927,0.00754424162549272,48034.088115680075,6639
CPRT,2m,0.5013926625087878,0.0013926625087877786,14735.265702666064,6639
AAPL,2m,0.5761271275245872,0.07612712752458717,289294.5843627599,6638
PPL,2m,0.564878910440295,0.06487891044029503,19104.675655317867,6638
GEN,2m,0.5395913599959593,0.03959135999595931,24776.753690870744,6638
