,AAPL,GOOGL,MSFT,AMZN,META,TSLA,NVDA,PYPL,ADBE,INTC
1761,151.71499633789062,98.2249984741211,238.77059936523438,115.21880340576172,138.5500030517578,277.4299011230469,123.5999984741211,86.19999694824219,280.6099853515625,27.204999923706055
1762,150.86720275878906,98.0999984741211,238.0800018310547,115.08499908447266,137.35000610351562,276.17010498046875,122.97000122070312,85.19000244140625,279.5,27.03499984741211
1763,150.75,98.18000030517578,237.8000030517578,115.44999694824219,137.35009765625,277.0509948730469,122.91020202636719,84.76000213623047,278.87359619140625,27.0
1764,150.64999389648438,98.12000274658203,237.60000610351562,115.22119903564453,137.60000610351562,277.7598876953125,122.80999755859375,84.8499984741211,278.9700012207031,26.979999542236328
1765,151.6750030517578,98.66000366210938,238.30999755859375,116.01000213623047,137.7100067138672,279.260009765625,123.55999755859375,85.02999877929688,278.67999267578125,27.155000686645508
1766,150.8699951171875,98.2300033569336,237.4600067138672,115.22000122070312,136.35000610351562,276.04998779296875,122.2300033569336,84.25,276.8699951171875,26.950000762939453
1767,152.78990173339844,98.70999908447266,238.97000122070312,115.47000122070312,137.6999969482422,285.9949951171875,125.81999969482422,86.62999725341797,279.7900085449219,26.889999389648438
1768,151.7550048828125,98.16999816894531,237.42999267578125,114.86000061035156,137.20860290527344,284.9100036621094,125.19000244140625,86.0999984741211,277.6000061035156,26.905000686645508
1769,150.8455047607422,97.26000213623047,235.32400512695312,113.76860046386719,135.4738006591797,279.9469909667969,123.2750015258789,85.0999984741211,275.4800109863281,26.700000762939453
1770,151.29600524902344,97.16999816894531,235.5500030517578,113.70999908447266,134.8300018310547,279.1600036621094,123.36000061035156,85.08000183105469,276.0,26.774999618530273
1771,151.11590576171875,97.06999969482422,235.16000366210938,113.80000305175781,134.6199951171875,279.1328125,123.5813980102539,85.08499908447266,275.20001220703125,26.75
1772,151.52000427246094,97.19000244140625,235.8800048828125,114.1500015258789,134.7465057373047,281.84130859375,124.08999633789062,85.38999938964844,276.0299987792969,26.829999923706055
1773,151.75,97.5,236.41000366210938,114.41000366210938,134.38999938964844,283.0199890136719,124.0999984741211,85.76000213623047,277.57000732421875,26.8799991607666
1774,147.36990356445312,98.13999938964844,238.3350067138672,116.01000213623047,137.2301025390625,283.3699951171875,126.83999633789062,87.41999816894531,279.6099853515625,27.030000686645508
1775,146.85000610351562,98.72000122070312,238.47999572753906,116.41000366210938,138.9635009765625,284.1700134277344,126.70999908447266,87.8499984741211,279.05999755859375,27.020000457763672
1776,147.14999389648438,99.4384994506836,239.8300018310547,116.9885025024414,139.8300018310547,282.5799865722656,126.30999755859375,88.73500061035156,279.2200012207031,27.110599517822266
1777,147.91000366210938,99.58999633789062,240.66000366210938,117.37999725341797,140.39999389648438,283.489990234375,126.0,89.63749694824219,280.8500061035156,26.93709945678711
1778,147.90769958496094,99.80500030517578,240.40499877929688,117.51010131835938,141.125,283.448486328125,126.51000213623047,90.16999816894531,281.19000244140625,26.945999145507812
1779,149.4199981689453,100.4000015258789,241.33999633789062,117.87999725341797,141.36000061035156,287.3500061035156,127.4000015258789,90.8499984741211,281.7200012207031,27.079999923706055
1780,149.7899932861328,100.04000091552734,241.0399932861328,117.9800033569336,141.58999633789062,287.760009765625,127.27999877929688,91.12000274658203,281.3900146484375,27.1200008392334
1781,143.4300994873047,96.52999877929688,235.12010192871094,114.18000030517578,136.0,272.68499755859375,121.36000061035156,89.18499755859375,276.54998779296875,26.308000564575195
1782,142.8800048828125,96.80999755859375,235.80999755859375,114.13999938964844,137.44000244140625,272.7900085449219,121.72000122070312,89.10970306396484,278.15960693359375,26.383499145507812
1783,142.86500549316406,96.5999984741211,235.64700317382812,114.6050033569336,137.30999755859375,270.385009765625,121.29000091552734,89.30999755859375,278.15631103515625,26.350000381469727
1784,142.31500244140625,96.38500213623047,235.52000427246094,114.2300033569336,137.25999450683594,268.0,120.78079986572266,88.91000366210938,278.4800109863281,26.3612003326416
1785,141.27000427246094,96.30000305175781,235.1999969482422,113.61009979248047,136.42999267578125,267.54998779296875,119.9749984741211,88.29000091552734,276.739990234375,26.280000686645508
1786,141.48739624023438,96.63999938964844,235.97000122070312,113.91560363769531,135.94000244140625,267.8699951171875,121.21009826660156,88.27999877929688,276.7991943359375,26.30500030517578
1787,142.58999633789062,97.45999908447266,237.47999572753906,114.88999938964844,136.4199981689453,268.2799987792969,122.25,88.72000122070312,278.3699951171875,26.3799991607666
1788,142.22000122070312,97.7699966430664,238.6199951171875,115.33999633789062,138.8000030517578,271.3699951171875,124.61000061035156,88.54499816894531,281.2300109863281,26.405000686645508
1789,142.61880493164062,98.73100280761719,239.97000122070312,116.38999938964844,140.60989379882812,274.3999938964844,125.71649932861328,89.08000183105469,283.70001220703125,26.420000076293945
